id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
639,消费，三防,529,,,Exmor R BSI CMOS,小米小蚁运动相机 旅行版,,,4608×3456,1600万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
640,消费,4500,,,Sony CMOS,Insta360 4K全景相机,,OLED屏,,,使用体验 使用 携带 便携性 操作 操控性 可玩性
641,微单,4299,APS画幅（23.6*15.6mm）,超声波振动方式,X-Trans CMOS,富士X-E1套机(XC16-50mm),焦平面快门,高清屏,4896×3264,1630万,外壳 机身 质地 操作 操控性 可玩性 结构 外形 外观
642,微单,2799,,,CMOS,小米小蚁M1套机(42.5mm，12-40mm),电子控制纵走式焦平面快门,触摸屏,5184×3888,2016万,外壳 机身 质地
643,,699,,,Sony IMX 317,米家小相机,,触摸屏,3840×2160,,
644,微单,3.8万,全画幅,,CMOS,徕卡Q(Typ 116) 四城定制款重庆版,机械电子快门,,,2420万,
645,中画幅数码单反,10.4万,,,CCD,哈苏CFV-50,,,6132×8176,5000万,
646,消费，长焦，广角,1588,1/2.3英寸,,CMOS,富士S8450W,机械快门,高清屏,4608×3456,1620万,
647,,概念产品,中画幅（53.4*40mm）,,sony CMOS,飞思iXU 1000,,,11608×8708,10000万,
648,卡片,990,,,CCD,佳能IXUS 180,,LCD,,2000万,
649,消费，卡片，长焦,2449,1/2.3英寸,,CMOS,卡西欧ZR800,机械电子快门,,4608×3456,1610万,结构 外形 外观
650,单电,3388,4/3画幅,,Live MOS,松下GM5,,,,,
651,消费,5391,1英寸,,MOS,松下CM10,机械电子快门,触摸屏，高清屏,5472×3648,2010万,
652,消费，长焦，广角,1699,1/2.3英寸,,CCD,尼康L340,机械电子快门,高清屏,5152×3864,2016万,
653,中端单反,1.17万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D7500套机(16-80mm VR),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,触摸屏，旋转屏,5568×3712,2088万,追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
654,消费，卡片,710,1/2.3英寸,,CCD,三星DV150F,,双屏幕,4608×3456,1620万,手感 触感 握感 握把 握持 质感 手柄
655,,概念产品,全画幅,,,索尼A7R IV,,,,,
656,微单,2.9万,全画幅,,CMOS,徕卡Q电镀银版,机械电子快门,,,2420万,
657,消费，长焦，广角,799,1/2.3英寸,,CMOS,GE通用电气X600,机械电子快门,,4320×3240,1400万,使用体验 使用
658,中端单反,8088,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(18-300mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
659,微单,概念产品,,,,松下S1S,,,,,
660,入门单反,3799,APS画幅（23.5*15.6mm）,,CMOS,尼康D3400套机(18-105mm VR),电子控制纵走式焦平面快门,,,2416万,工艺 做工 设计 续航 电池
661,微单,5万,全画幅,,CMOS,徕卡Q(Typ 116) 皓雪版,机械电子快门,,,2420万,
662,中端单反,6698,APS画幅（23.5*15.6mm）,"摄像元件""DR II""机构：超声波抖动除尘，具有灰尘警告功能。
低通滤镜模拟器：基于SR元件的摩尔纹减少功能。关闭，类型1，类型2",CMOS,宾得K-3套机(18-135mm WR),电子控制纵走式焦平面快门,高清屏,6016×4000,2435万,工艺 做工 设计 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观
663,消费，卡片，广角,799,1/2.3英寸,,CMOS,明基G2F,,旋转屏，高清屏,,1800万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 菜单功能 按键 功能 操作 操控性 可玩性
664,消费，卡片，长焦，广角,900,1/2.3英寸,,背照式CMOS,卡西欧ZR500,机械电子快门,高清屏,4608×3456,1610万,
665,旁轴数码,4.9万,全画幅,,CMOS,徕卡M 100周年纪念版,,,5952×3976,2400万,
666,单电,1.59万,4/3画幅（17.4*13mm）,,Live MOS,奥林巴斯E-M1 II套机(12-40mm PRO),电子控制纵走式焦平面快门,触摸屏，旋转屏,5184×3888,2040万,携带 便携性
667,旁轴数码,2.7万,,,,徕卡M-A(Typ 127),,,,,
668,消费，卡片，长焦,1000,1/2.3英寸,,背照式CMOS,尼康S6600,机械电子快门,高清屏,4608×3456,,
669,微单,5699,4/3画幅,,Live MOS,奥林巴斯E-PL9(14-42mm EZ，40-150mm R),电子控制纵走式焦平面快门,触摸屏，旋转屏,4608×3456,1610万,
670,单电,2299,23.5*15.7mm,,CMOS,三星NX3300,,,5472×3648,2030万,
671,高端单反,24.38万,中画幅（53.7*40.4mm）,像素尺寸：5.2μm,CCD,玛米亚利图Credo 80(玛米亚口),,触摸屏，高清屏,10320×7752,8000万,
672,高端单反,2.44万,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(70-200mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
673,微单,1.33万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(E 18-135mm OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
674,微单,6499,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300套机(E 50mm f/1.8 OSS),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,外壳 机身 质地 结构 外形 外观 重量 分量 防水性 防尘 三防 防滑性 菜单功能 按键 功能 工艺 做工 设计
675,微单,1.69万,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII套机(FE 55mm),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
676,消费，长焦,600,1/2.3英寸,,CCD,明基GH610,,高清屏,,1600万,
677,消费，卡片,1699,1/2.3英寸,,背照式CMOS,卡西欧ZR65,机械电子快门,旋转屏,4608×3456,1610万,
678,高端单反,4.37万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II套机(50mm f/1.2L),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
679,微单,7599,4/3画幅（17.4*13mm）,,4/3Live MOS,奥林巴斯PEN-F套机(14-42mm EZ),焦平面快门,触摸屏,5184×3888,2030万,结构 外形 外观 工艺 做工 设计
680,微单,2.9万,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII套机(FE 28-135mm),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
681,高端单反,价格面议,,,,佳能5DS R II,,触摸屏,,6010万,
682,卡片,1469,1/2.3英寸,,CMOS,卡西欧ZR55,机械电子快门，电子快门,旋转屏,4608×3456,1610万,
683,微单,3499,APS-C画幅（23.6*15.7mm）,,CMOS,富士X-A3套机(XC 16-50mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,
684,消费,599,1/2.3英寸,,背照式CMOS,卡西欧MR1,机械电子快门,,4320×3240,1400万,
685,消费,1499,1/2.3英寸,,背照式CMOS,卡西欧EX-FR100L,电子快门,触摸屏,4000×3000,1020万,工艺 做工 设计
686,微单,3598,4/3画幅（17.3*13mm）,,Live MOS,松下GF9XGK,电子控制纵走式焦平面快门,触摸屏，旋转屏,4592×3448,1600万,
687,高端单反,价格面议,,,CMOS,尼康DF2,,,,2400万,
688,消费，卡片，三防,1599,1/2.3英寸,,CMOS,富士XP120,,高清屏,,1640万,
689,单反,4088,22.3×14.9mm,,CMOS,佳能1500D套机(EF-S 18-55mm IS II，EF-S 55-250mm IS II),电子控制纵走式焦平面快门,,,2410万,
690,微单,7758,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-6000套机(E 18-200mm),电子控制纵走式焦平面快门,高清屏，翻转屏,6000×4000,2430万,手感 触感 握感 握把 握持 质感 手柄 失败率 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 追焦 追踪 操作 操控性 可玩性 防抖性 防抖 机震
691,微单,8.06万,全画幅（24*36mm）,,CMOS,徕卡SL套机(50mm),,触摸屏,6000×4000,2400万,
692,消费，长焦,900,1/2.3英寸,,CMOS,奥林巴斯SZ-16,,高清屏,,1600万,
693,微单,3.02万,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII套机(FE 24-70mm GM),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
694,高端单反,3.57万,,,,玛米亚利图645DF+,,,,,
695,消费,899,1/2.3英寸,,CMOS,奥林巴斯SZ-17,,,,1600万,
696,入门单反,3150,APS画幅（22.3*14.9mm）,,CMOS,佳能1300D套机(18-55mm IS II，55-250mm IS II),电子控制纵走式焦平面快门,,5184×3456,1800万,携带 便携性
697,高端单反,价格面议,全画幅（36*23.9mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2 软件）,CMOS,尼康Df金色限量版,电子控制纵走式焦平面快门,高清屏,4928×3280,1625万,工艺 做工 设计 携带 便携性 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 结构 外形 外观
698,微单,3.01万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S套机(FE 24-70mm，FE 70-200mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
699,消费，长焦,2199,1/1.7英寸,,,奥林巴斯STYLUS 1s,,,,1200万,续航 电池
700,入门单反,3549,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D3300套机(18-105mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,工艺 做工 设计 使用体验 使用 操作 操控性 可玩性 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
701,航拍无反,即将上市,中画幅（53.4*40mm）,,CMOS,哈苏A6D-100C,,,,10000万,
702,高端单反,2.32万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds R套机(70-200mm IS II USM),电子控制焦平面快门,高清屏,8688×5792,5060万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
703,中端单反,8169,APS画幅（23.6*15.6mm）,除尘系统：清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2软件）,CMOS,尼康D7000套机(18-300mm),电子控制纵走式焦平面快门,高清屏,4928×3264,1620万,操作 操控性 可玩性 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
704,高端单反,4.1万,全画幅（36.0*23.9mm）,清洁影像传感器、图像除尘参考数据,,尼康D4s套机(24-70mm),,高清屏,4928×3280,1623万,工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
705,微单,1.01万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 35mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
706,消费，卡片，三防,2499,1/2.3英寸,,背照式CMOS,奥林巴斯TG-Tracker,,,,720万,
707,单电,6898,4/3画幅（17.3*13.0mm）,,Live MOS,松下GX85套机(12-32mm),电子快门,触摸屏,4592×3448,1600万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
708,消费，卡片，长焦，广角,839,,,CCD,三星WB35F,,,,1600万,防抖性 防抖 机震 操作 操控性 可玩性
709,消费，专业,即将上市,1英寸,,MOS,松下TX1,机械电子快门,触摸屏,,2010万,
710,单电,3499,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M10套机(14-42mm II R),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 防抖性 防抖 机震 夜拍 感光
711,中端单反,7900,APS画幅（23.6*15.6mm）,除尘系统：清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2软件）,CMOS,尼康D7000套机(16-85mm),电子控制纵走式焦平面快门,高清屏,4928×3264,1620万,操作 操控性 可玩性 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
712,微单,2190,APS画幅（23.5*15.7mm）,超声波除尘,CMOS,三星NX1100套机(20-50mm),电子控制垂直焦平面快门,高清屏,5472×3648,2030万,
713,中端单反,6998,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(18-105mm，35mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
714,中端单反,8599,APS画幅（23.5*15.6mm）,,CMOS,尼康D7200套机(16-85mm VR),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 重量 分量 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
715,入门单反,4499,APS-C画幅,,CMOS,宾得K-70套机(18-55mm WR),,旋转屏，高清屏,6000×4000,2400万,
716,单电,3799,4/3画幅（17.3*13.0mm）,,Live MOS,奥林巴斯E-M10 II套机(14-42mm EZ),焦平面快门,触摸屏，旋转屏,4608×3456,1610万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
717,消费，卡片，长焦,1950,1/2.3英寸,,背照式CMOS,卡西欧ZR700,机械电子快门,高清屏,4608×3456,1610万,防抖性 防抖 机震 工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
718,微单,8799,1英寸（13.2*8.8mm）,,CMOS,尼康V3套机(10-30mm PD，DF-N1000，GR-N1010),电子控制纵走式焦平面快门，电子快门,触摸屏，翻转屏，高清屏,5232×3488,1839万,
719,数码后背,22.15万,中画幅（53.7*40.4mm）,,CMOS,飞思IQ1 100MP,,,11608×8708,10100万,
720,广角,2.49万,,,,Insta360 Pro,,,,,
721,微单,1.46万,APS-C画幅（23.6*15.6mm）,APS-X,X-Trans CMOS III,富士X-PRO 2(XF 23mm)石墨灰版,机械电子快门,液晶显示器,,2430万,
722,中端单反,8899,APS画幅（23.5*15.6mm）,,CMOS,宾得K-3II套机(HD DA 16-85mm WR),,,6016×4000,2400万,操作 操控性 可玩性
723,消费,999,1/2.3英寸,,,卡西欧ZR50,机械电子快门,翻转屏,4608×3456,1610万,
724,M4/3系统微单相机,2900,4/3画幅（17.3*13mm）,,Live MOS,松下GX1套机(14mm，14-42mm),,高清屏，触摸屏,4592×3448,1600万,工艺 做工 设计 携带 便携性 结构 外形 外观 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性
725,消费，广角,1.05万,1/1.7英寸,,CMOS,徕卡D-lux6 100周年纪念版,电子快门,高清屏,3648×2736,1010万,使用体验 使用
726,微单，单电,4698,4/3画幅,17.3x13.0mm,Live MOS,松下GF10套机(14-42mm),电子控制纵走式焦平面快门，快门按钮，手动快门，脸部快门，好友快门,触摸屏，旋转屏,4592×3448,1600万,
727,单电,3099,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M5套机(12-50mm EZ),电子控制焦平面快门,触摸屏,4608×3456,1610万,操作 操控性 可玩性 外壳 机身 质地 工艺 做工 设计 防抖性 防抖 机震 体积 厚度 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 防水性 防尘 三防 防滑性
728,消费，长焦，广角,1299,1/2.3英寸,,CCD,柯达AZ501,,高清屏,,1615万,
729,高端单反,价格面议,,,,佳能6D Mark II,,,,,
730,广角,3.3万,1/2.33英寸,,,Insta360 Pro 2,,,,,
731,消费,399,1/2.3英寸,,,富士JX660,,,4608×3440,1600万,
732,消费,2999,1/2.3英寸,,CMOS,卡西欧FR100,,触摸屏,4000×3000,1020万,
733,微单,1.12万,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T2(XF 18-55mm)碳晶灰版,电子控制纵走式焦平面快门,旋转屏,6000×4000,2430万,携带 便携性
734,微单,2199,APS-C画幅（23.6*15.7mm）,,CMOS,富士X-A10套机(XC 16-50mm II，XC 50-230mm II),电子控制纵走式焦平面快门,旋转屏,4896×3264,1630万,
735,高端单反,2.16万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(24-70mm),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
736,高端单反,4.22万,中画幅（43.8*32.8mm）,无低通滤镜设计,CMOS,宾得645Z套机(FA75mm),电子控制纵走式焦平面快门,,,5140万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
737,高端单反,1.3万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(18-200mm),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
738,卡片，三防,899,,,,尼康W100,,,,,
739,微单,7790,APS-C画幅（23.5*15.6mm）,,X-Trans CMOS III,富士X-E3套机(XF 18-55mm),电子控制纵走式焦平面快门,触摸屏,6000×4000,2430万,菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄
740,消费，长焦，广角,1299,1/2.3英寸,,CCD,柯达AZ361,机械电子快门,,4608×3456,1615万,工艺 做工 设计 使用体验 使用
741,微单,8499,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T2套机(XF 35mm),电子控制纵走式焦平面快门,旋转屏,6000×4000,2430万,携带 便携性 手感 触感 握感 握把 握持 质感 手柄
742,单电,5599,APS画幅（23.5*15.7mm）,RGB 原色滤镜,CMOS,三星NX30套机(18-55mm),电子控制纵走式焦平面快门,触摸屏，旋转屏，AMOLED显示屏,5472×3648,2030万,
743,消费,968,1/2.3英寸,,CMOS,卡西欧FR10,,触摸屏,4320×3240,1400万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
744,旁轴数码,10.23万,全画幅,,CMOS,徕卡M-P乒乓球拍限量版,,,5952×3976,2400万,
745,消费，广角,739,1/2.3英寸,,CCD,柯达FZ152,,,,1615万,
746,微单,2.22万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(24-70mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
